ア;a;;main;
カ;ka;;main;
サ;sa;;main;
タ;ta;;main;
ナ;na;;main;
ハ;ha;;main;
マ;ma;;main;
ヤ;ya;;main;
ラ;ra;;main;
ワ;wa;;main;
ガ;ga;;dakuten;
ザ;za;;dakuten;
ダ;da;;dakuten;
バ;ba;;dakuten;
パ;pa;;dakuten;
イ;i;;main;
キ;ki;;main;
シ;shi;;main;
チ;chi;;main;
ニ;ni;;main;
ヒ;hi;;main;
ミ;mi;;main;
リ;ri;;main;
ギ;gi;;dakuten;
ジ;ji;;dakuten;
ヂ;dji;;dakuten;
ビ;bi;;dakuten;
ピ;pi;;dakuten;
ウ;u;;main;
ク;ku;;main;
ス;su;;main;
ツ;tsu;;main;
ヌ;nu;;main;
フ;fu;;main;
ム;mu;;main;
ユ;yu;;main;
ル;ru;;main;
グ;gu;;dakuten;
ズ;zu;;dakuten;
ヅ;dzu;;dakuten;
ブ;bu;;dakuten;
プ;pu;;dakuten;
エ;e;;main;
ケ;ke;;main;
セ;se;;main;
テ;te;;main;
ネ;ne;;main;
ヘ;he;;main;
メ;me;;main;
レ;re;;main;
ゲ;ge;;dakuten;
ゼ;ze;;dakuten;
デ;de;;dakuten;
ベ;be;;dakuten;
ペ;pe;;dakuten;
オ;o;;main;
コ;ko;;main;
ソ;so;;main;
ト;to;;main;
ノ;no;;main;
ホ;ho;;main;
モ;mo;;main;
ヨ;yo;;main;
ロ;ro;;main;
ヲ;wo;;main;
ン;n;;main;
ゴ;go;;dakuten;
ゾ;zo;;dakuten;
ド;do;;dakuten;
ボ;bo;;dakuten;
キュ;kyu;;combination;
シュ;shu;;combination;
チュ;chu;;combination;
ニュ;nyu;;combination;
ヒュ;hyu;;combination;
ミュ;myu;;combination;
リュ;ryu;;combination;
ギュ;gyu;;combination;
ジュ;ju;;combination;
ビュ;byu;;combination;
ピュ;pyu;;combination;
キョ;kyo;;combination;
ショ;sho;;combination;
チョ;cho;;combination;
ニョ;nyo;;combination;
ヒョ;hyo;;combination;
ミョ;myo;;combination;
リョ;ryo;;combination;
ギョ;gyo;;combination;
ジョ;jo;;combination;
ビョ;byo;;combination;
ピョ;pyo;;combination;